param,Parent,C0-13,"C0-13,O1-18",O1-18,"C0-13,O1-17",O1-17,"C0-13,S2-34","C0-13,O1-18,S2-34","O1-18,S2-34","C0-13,O1-17,S2-34","O1-17,S2-34",S2-34,"C0-13,S2-33","C0-13,O1-18,S2-33","O1-18,S2-33","C0-13,O1-17,S2-33","O1-17,S2-33",S2-33,"C0-13,S2-36","O1-18,S2-36","O1-17,S2-36",S2-36,unit
A,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,MHz
B,6003.866507944678,5984.529246825188,5617.456123682704,5631.117986385586,5791.83970900818,5808.0741948626655,5836.254713246248,5473.154301633295,5488.097294131159,5645.657280717991,5663.28010141148,5857.097574564944,5908.158016389323,5543.133766347158,5557.448334906332,5716.5474677395305,5733.489945988775,5928.263749361024,5703.407958253463,5359.988311272015,5533.590246074681,5725.647440772762,MHz
C,6003.866507944678,5984.529246825188,5617.456123682704,5631.117986385586,5791.83970900818,5808.0741948626655,5836.254713246248,5473.154301633295,5488.097294131159,5645.657280717991,5663.28010141148,5857.097574564944,5908.158016389323,5543.133766347158,5557.448334906332,5716.5474677395305,5733.489945988775,5928.263749361024,5703.407958253463,5359.988311272015,5533.590246074681,5725.647440772762,MHz
A,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,cm-1
B,0.20026742994130553,0.19962240834041223,0.18737816692115397,0.18783387760827477,0.19319497720680417,0.19373650136531004,0.19467650227699348,0.1825647762504184,0.18306322082762866,0.18831885626415562,0.18890669028810192,0.19537174529470464,0.19707493830246134,0.18489903993339143,0.18537652254435072,0.1906834983733824,0.19124863861614472,0.19774559336516143,0.1902452115140756,0.17878996513221207,0.18458070236292204,0.1909870408004981,cm-1
C,0.20026742994130553,0.19962240834041223,0.18737816692115397,0.18783387760827477,0.19319497720680417,0.19373650136531004,0.19467650227699348,0.1825647762504184,0.18306322082762866,0.18831885626415562,0.18890669028810192,0.19537174529470464,0.19707493830246134,0.18489903993339143,0.18537652254435072,0.1906834983733824,0.19124863861614472,0.19774559336516143,0.1902452115140756,0.17878996513221207,0.18458070236292204,0.1909870408004981,cm-1
Paa,84.17559059194409,84.44757946659571,89.96581335291656,89.74754398030666,87.25707798083721,87.0131806491818,86.59303508368191,92.33779668711722,92.086379314353,89.516416603518,89.23786217380962,86.28488815622558,85.53918289583774,91.17207529965012,90.93723930228029,88.40633476647682,88.14509380887745,85.24907637517113,88.6100052531043,94.28733418664888,91.3293154475854,88.2658274665315,amu A^2
Pbb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amu A^2
Pcc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amu A^2
Delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amu A^2
C0,12.0,13.00335483534,13.00335483534,12.0,13.00335483534,12.0,13.00335483534,13.00335483534,12.0,13.00335483534,12.0,12.0,13.00335483534,13.00335483534,12.0,13.00335483534,12.0,12.0,13.00335483534,12.0,12.0,12.0,amu
O1,15.99491461926,15.99491461926,17.99915961214,17.99915961214,16.99913175595,16.99913175595,15.99491461926,17.99915961214,17.99915961214,16.99913175595,16.99913175595,15.99491461926,15.99491461926,17.99915961214,17.99915961214,16.99913175595,16.99913175595,15.99491461926,15.99491461926,17.99915961214,16.99913175595,15.99491461926,amu
S2,31.97207117354,31.97207117354,31.97207117354,31.97207117354,31.97207117354,31.97207117354,33.967867011,33.967867011,33.967867011,33.967867011,33.967867011,33.967867011,32.97145890862,32.97145890862,32.97145890862,32.97145890862,32.97145890862,32.97145890862,35.967080692,35.967080692,35.967080692,35.967080692,amu
f_a,0.936165476463,0.010029668537,2.05606345e-05,0.0019191218654999998,3.85574735e-06,0.00035989400264999994,0.00046156566330000004,9.4620105e-07,8.831804895000001e-05,1.7744161500000001e-07,1.6562333385e-05,0.043082364836700006,8.068146646000002e-05,1.6539551e-07,1.5437954490000003e-05,3.1016713000000004e-08,2.895088287e-06,0.007530777633540001,1.6707302360000004e-06,3.1968503400000006e-07,5.99507142e-08,0.00015594532976400004,
